no,ulasan,entity,GT,split
1387,"
Kok bisa jadi hotel komersil / Reddoorz,,, heran kan,,, apa kata dunia",SMK N 4 Kota Malang,TD,SMK N 4 Kota Malang_TD
1388,"
Salah satu sekolah menengah akhir kejuruan tertua di Malang",SMK N 4 Kota Malang,N,SMK N 4 Kota Malang_N
1390,"
Met pagy bpk/ibu
Permisi saya mau menawarkan jasa renovasi / pembuatan, pengecatan sarana olahraga ( Lap basketball, Lap volly, Lap tenis, Lap futsal dll) kalau bpk/ibu berminat bsa hhub saya di no 087812515384. Devi budianto",SMK N 4 Kota Malang,N,SMK N 4 Kota Malang_N
1391,"
Sekolahnya bagus, dan tahu gak kalian Bayu skak pernah sekolah disini lho!",SMK N 4 Kota Malang,D,SMK N 4 Kota Malang_D
1392,"
Apakah sekolah mewajibkan siswanya punya laptop?rencana mau ambil MM tapi pengennya beli komputer.lebih penting mana yaa?",SMK N 4 Kota Malang,N,SMK N 4 Kota Malang_N
1395,"
Tempatnya asri, tapi terlalu banyak murid",SMK N 4 Kota Malang,TD,SMK N 4 Kota Malang_TD
1396,"
Sekolah ditengah kota malang",SMK N 4 Kota Malang,N,SMK N 4 Kota Malang_N
1397,"
Pas ada acara di sini",SMK N 4 Kota Malang,N,SMK N 4 Kota Malang_N
1398,"
Sekolah unggulan se Malang Raya bahkan di Propinsi juga.Banyak lulusan siswanya sudah di terima perusahaan sebelum di wisuda.Pendidikan kejuruan yang disiplin dan berkarakter pada perusahaan.",SMK N 4 Kota Malang,D,SMK N 4 Kota Malang_D
1400,"
Tempatnya luas nyaman,banyak area untuk belajar kelompok, ada masjidnya di tengah gedung..",SMK N 4 Kota Malang,D,SMK N 4 Kota Malang_D
1401,"
Bagus. Sangat membantu",SMK N 4 Kota Malang,D,SMK N 4 Kota Malang_D
1402,"
Mantab.....",SMK Telkom,D,SMK Telkom_D
1403,"
Sekolah ini terletak di tengah perumahan tp tak kalah terkenal dengan yg berada di pinggir jalan. Prestasi akademik siswanya luar biasa, sehingga dijadikan tujuan utama siswa untuk bisa mengadu kepandaian lulusan SMP dari beberapa kota. Adab dan akhlak jg sangat ditekankan di sekolah ini, yg sangat pantas ditiru sekolah lainnya.",SMK Telkom,D,SMK Telkom_D
1404,"
Luar biasa",SMK Telkom,D,SMK Telkom_D
1405,"
Jajanannya lengkap bgt,, rame, tempat bersih.",SMK Telkom,D,SMK Telkom_D
1406,"
Tempat yang luas serta nyaman dan orang orang yang ramah",SMK Telkom,D,SMK Telkom_D
1407,"
PSHT lapangan belakang SMK telkom",SMK Telkom,D,SMK Telkom_D
1408,"
Semangat",SMK Telkom,D,SMK Telkom_D
1409,"
Bersih bagus dan terawat",SMK Telkom,D,SMK Telkom_D
1410,"
Semoga saja aku bisa masuk sekolah sini aamiin",SMK Telkom,D,SMK Telkom_D
1411,"
Sekolah yg bagus",SMK Telkom,D,SMK Telkom_D
1412,"
Sekolah IT terbaik, fasilitasnya bagus, sekolahnya luas, lebih mementingkan attitudenya, namun menurut saya rombel terlalu banyak. Satu kelas bisa mencapai 45 siswa",SMK Telkom,D,SMK Telkom_D
1413,"
Sekolah kereennn... SMK bisa.. SMK hebat..",SMK Telkom,D,SMK Telkom_D
1414,"
ok bersih dan bermutu",SMK Telkom,D,SMK Telkom_D
1415,"
SMK berbasis IT favorit di kota Malang",SMK Telkom,D,SMK Telkom_D
1416,"
SMA Swasta terbaik nasional..",SMK Telkom,D,SMK Telkom_D
1417,"
SMK IT yng terbaik di malang",SMK Telkom,D,SMK Telkom_D
1418,"
Baik",SMK Telkom,D,SMK Telkom_D
1419,"
Jalan nya sudah diaspal mulus",SMK Telkom,D,SMK Telkom_D
1420,"
SMK dg wawasan teknologi masa depan",SMK Telkom,D,SMK Telkom_D
1421,"
Survey sekolah",SMK Telkom,N,SMK Telkom_N
1422,"
Sekolahnya Anak2 IT ..semoga semakin sukses buat mokleters Dan berkah",SMK Telkom,D,SMK Telkom_D
1423,"
1.saya ingin bertanya apakah ada ekstrakulikuler
2.dan jika ada ekstrakulikuler ekstrakulikuler nya itu apa saja
3.apakah disini juga ada pelajaran olahraga atau hanya komputer saja",SMK Telkom,N,SMK Telkom_N
1424,"
Lagi lockdown",SMK Telkom,N,SMK Telkom_N
1427,"
SMK ini sangat bagus dan berkualitas cocok untuk generasi kita",SMK Telkom,D,SMK Telkom_D
1429,"
Sekolahnya bagus",SMK Telkom,D,SMK Telkom_D
1431,"
Untuk pertemuan,acara resepsi pernikahan,cukup luas untuk undangan 500 lebih,parkir jg cukup luas untuk mobil dan sepeda...",SMK Telkom,D,SMK Telkom_D
1432,"
Mantap, attitude is everything",SMK Telkom,D,SMK Telkom_D
1434,"
Di atas aula nya merupakan mesjid nya",SMK Telkom,N,SMK Telkom_N
1435,"
Kurang lebih 3-4km keluar tol pakis. Jadi sangat strategis",SMK Telkom,D,SMK Telkom_D
1436,"
Sekolahnya bagus.",SMK Telkom,D,SMK Telkom_D
1438,"
ruangan nya luas dan cukup bagus untuk kegiatan dan pettemuan pertemuan",SMK Telkom,D,SMK Telkom_D
1440,"
Tempat menikah di perumahan sawojajar. Parkir tersedia lumayan luas jadi tidak perlu parkir di tepi jalan",SMK Telkom,D,SMK Telkom_D
1442,"
Siswa sangat rapi saat upacara.",SMK Telkom,D,SMK Telkom_D
1443,"
Sekolah katolik",SMAK Kolese Santo Yusup,N,SMAK Kolese Santo Yusup_N
1445,"
Mulai kakak saya tertua sampai anak anak saya adalah jebolan Kosayu. Saya sendiri lulusan 89. Sekarang anak terkecil saya masih sekolah di Hwa Ind. Sekolah ini beserta semua guru dan staffnya adalah bagian keluarga, sehingga saya berharap yayasan mampu juga memperhatikan kehidupan dan kesejahteraan semua guru dan staffnya.
Seluruh murid dan alumni adalah keluarga besar yang akan membentuk masa depan bangsa dan negara. Datang dari seluruh penjuru Indonesia, membentuk kita sebagai manusia NKRI yang kaya akan kebanggaan sebagai bangsa Indonesia yang hebat.
Saya berharap Hwa Ind sampai kapanpun akan mampu menjadi institusi pendidikan yang membanggakan, memperhatikan guru dan staffnya, serta berkontribusi nyata dalam menjadikan Indonesia Maju dan Jaya!!!",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1446,"
Salah satu sekolah SMA Katolik yg terbaik di Malang",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1447,"
Pertama kali merantau, bertemu banyak teman dari sabang sampai merauke, belajar banyak dari keberagaman, edukasi dan kegiatan mahasiswanya luar biasa. #proudtobekosayu",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1448,"
Tetap bersemangat !",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1452,"
Tempat menimba ilmu ketika SMA
Lingkungannya asri sejuk nyaman",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1453,"
Bagi saya merupakan sesuatu berharga bisa bersekolah disini. Tempat dimana saya pertama belajar menghargai perbedaan yang merupakan karunia dari Tuhan untuk negara ini...terimakasih sisan diberi kesempatan menjadi bagiannya...",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1454,"
tetap bersemangat! Terus update pola pembelajaran yang efektif bagi tumbuh kembang anak didik yang optimal!",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1457,"
Almamater tercinta",SMAK Kolese Santo Yusup,N,SMAK Kolese Santo Yusup_N
1458,"
Separuh hidup sy ada di Kosayu (dr Playgrup smp SMA di blimbing terus) bangga sekali menjadi slh satu alumni dr Kosayu/Hua Ind. Sy rasa sejatim-bali pun sdh mengenal nama besarnya..sekolah yg msh mengedepankan pelajaran akademis, kedisiplinan, tdk boleh bawa hp. Kl soal pelajaran jgn ditanya lagi, jauh lebih takut dengan ujian sekolah drpd ujian nasional. Tetap bersemangatt!! Kosayu tetap di hati,semoga ttp menjadi sekolah unggulan.",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1459,"
Tak ada kata yang dapat terucap... Selain... Bangga menjadi alumni Hua Ind..âœ¨âœ¨âœ¨",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1460,"
Tempat bersekolah 1992-1995. Tentu sudah banyak kemajuan dibanding seperempat abad lalu. Tetap Bersemangat",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1461,"
Saya angkatan 1997. Lulus tahun 2000. A nice Catholic school. Dengan ulangan yg bertubi tubi, tugas tiada akhir. Pengalaman yg di dapat jadi disiplin, mengalami kurikulum absurd, kl mental g kuat bisa jadi pasien psikolog, bahwa di Indonesia yg dipentingkan hasil bukan proses. Begitu.",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1462,"
Banyak teman dari seluruh Indonesia. Disiplin baik dalam hal akademis maupun non akademis.",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1464,"
Sekolah yang penuh kenangan. Tempat saya menimba ilmu pertama kali di tanah Jawa. Teman2 dari beragam daerah dan kota berkumpul disini, membuktikan bahwa sekolah ini memang favorit. Sampai sekarang pun tetap menjadi favorit di tengah banyaknya sekolah berlabel internasional. Tetap Bersemangat âœŠ",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1466,"
Tidak hanya mendapatkan pendidikan formal, tetapi juga pendidikan karakter disupport oleh lingkungan yang multikultural dan guru-guru berwawasan luas. Thank you HuaInd! Tetap Bersemangat!",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1467,"
Proud to be Kosayu!! Sekolah Hwaind memiliki sistem yang sangat baik untuk mendidik anak2 baik dari sisi akademis & mentalnya. Kegiatan sekolah semua bermanfaat, seperti Pelangi Bangsaku yang mengenalkan budaya seluruh provinsi di Indonesia. Lalu ada ekspo karir dimana anak2 bisa belajar dari para alumni sebelum menentukan jurusan kuliahnya.
Kegiatan OSIS juga sangat bagus, melatih leadership sejak dini, agar nanti di kampus / dunia kerja sudah terlatih untuk kepengurusan teamwork.",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1468,"
Tetap bersemangatt!!",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1469,"
Saya alumni SMAK Kolese Santo Yusup angkatan 82.disiplin, semangat belajar, kekompakan dan kebersamaan selalu menjadi motivasi yg kuat.selalu juara sekolah ku.tetap bersemangat",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1470,"
Bangga dong jd alumni KosayuðŸ˜Š",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1471,"
Sekolah terbaik di Malang",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1472,"
SMAK St. Yusup sudah menjadi seperti sekolah keluarga. Dari om, tante, saya, adik, kakak sepupu, adik sepupu, ponakan-ponakan; banyak yang bersekolah disini. Disiplin, bertanggung jawab, toleransi adalah sebagian dari apa yang saya dapatkan selama bersekolah. Keputusan yang tepat ketika orang tua saya menyekolahkan kami jauh-jauh dari Kupang-NTT kesini.
Suatu kebanggaan menjadi alumni SMAK St. Yusup.
Tetap Jaya. TETAP BERSEMANGAT.",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1473,"
Disini tempat belajar untuk tetap bersemangat!",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1475,"
Kosayu = keberagaman
Bersekolah di Kosayu seperti sedang travelling menjelajah Indonesia.
Setelah lulus dari Kosayu, mempunyai teman di seluruh dunia karena alumninya tersebar kemana2.
Terima kasih Bapak&Ibu guru yang telah menemani saya selama berproses di Kosayu.
Tetap bersemangaaaat!",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1476,"
Saya menempuh pendidikan di Kolese ini bahkan tinggal di asrama. Banyak pelajaran berharga yang saya dapatkan terutama pelajaran hidup dan nilai-nilai kehidupan yang masih menjadi bekal hidup saya sampai saat ini. Guru-gurunya mumpuni. Fasilitasnya memadai.",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1477,"
Sebagai alumni dan orang tua murid ,saya melihat di masa pandemi ini Hua Ind tetap berusaha memberikan yang terbaik untuk anak didiknya baik dalam iman,karakter,ketrampilan dan intelektualitasnya. Saya bangga menjadi alumni Hua Ind . Tetap Bersemangat !!!",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1478,"
Salah satu SMA terbaik di Indonesia. Satu diantara sedikit SMA dimana siswa berasal dari seluruh Indonesia dan karenanya merupakan tempat belajar budaya Indonesia terbaik. Belajar untuk mengerti perbedaan budaya sebagai kekuatan. Belajar tentang INDONESIA.
Sooooooo proud to be one of the Alumni =)",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1479,"
Sekolah yg baik. Fasilitas sekolah mereka memadai serta kualitas mengajar jg baik. Sistem mengajar sekolah ini melatih anak2 utk menjadi rajin dan selalu siap menjalankan tgs yg ada.",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1480,"
Salah satu sekolah terbaik di Indonesia",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1481,"
Disiplinnya MANTAP banget!",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1482,"
Kedisiplinan dan tanggung jawab yg diajarkan saat saya sekolah SMP dan SMA di HUA IND Malang , terus menerus lengket di masa2 selanjutnya hingga sekarang , sehingga semua yg kami kerjakan bisa tuntas sampai tujuan akhir dan mencapai kesuksesan",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1483,"
Menjadi lulusan SMAK Kolese Santo Yusup merupakan kelebihan utama dalam hidup saya. Dari sisi akademis memudahkan saya mengikuti pembelajaran saat kuliah. Seusai kuliah saya juga bertemu dengan alumni Kosayu yang menjadi rekan kerja saya. Nyatanya, flow study di SMAK Kosayu membuat mental kami lebih unggul daripada yang lain.",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1484,"
Lingkungan sekolah yg nyaman..guru2 yg kompeten..",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1485,"Sekolah ini selalu yang terbaik untukku! Toleransi dan rasa hormat antar dan satu sama lain sangat terasa! Terutama bidang: fisika, matematika, kimia, dan bahasa Inggris adalah kelas satu!",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1486,"
Adalah sekolah yang terkenal karena mengajarkan kedisiplinan, memiliki guru yang baik dalam bidangnya, perhatian dengan murid, salah satu sekolah di Malang yang menghasilkan nilai akademis terbaik, menciptakan banyak individu yang berhasil dari sisi karakter , dengan slogan Tetap Bersemangat. Semoga tetap dipertahankan bahkan lebih baik lagi.",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1488,"
Sekolah disini mulai SMP-SMA pengalaman yg sangat menyenangkan. Ditambah guru2 nya yg hebat. Banyak mendapat pengalaman baru dr teman baru. Teman yg berasal dr sabang sampai merauke... Slalu mencetak prestasi akademik dan non akademik. Maju terus Kosayu.. TETAP BERSEMANGAT...",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1490,"
Sekolah yg bagus",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1491,"
Semua yang kamu butuhkan untuk menjadi siswa paripurna ada di Hua-Ind",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1492,"
Sekolah dengan lingkungan terbaik, asri, pepohonan rindang, taman terawat, fasilitas lengkap. Tiada masa seindah masa masa SMA.",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1493,"
kolese st yusup top markotop",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1494,"
Selain pendidikan yg bagus, byk hal positif dan byk teman dr berbagai daerah yg bisa saya dpt di Kosayu..",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1495,"
Salah satu SMA bagus di Malang.
Mengedepankan disiplin, pembangunan manusia baik dari segi ilmu akademisi juga karakter.
Fasilitasnya lengkap, lapangan olah raga bagus.
Tapi saya keburu lulus, gedungnya jadi... Hahaha",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1496,"
Kedisiplinan sangat baik, pengembangan potensi diri sangat diperhatikan, guru-gurunya berkualitas, dan fasilitas yang diberikan cukup lengkap",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1497,"
Guru-gurunya jelas dalam menjelaskan materi. Fasilitasnya juga cukup untuk kemudahan kegiatan belajar mengajar.",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1498,"
Kedisipilinan, kekuatan mental, kemampuan berorganisasi dilatih dengan sangat baik di SMAK Kosayu dan semuanya sangat membantu saya dalam dunia kerja dan dalam kehidupan sehari- hari..klo ada bintang 10 saya kasih bintang 10 buat ratingnya..TETAP BERSEMANGAT!",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1499,"
Tanpa sekolah ini, jalan hidup saya pasti berbeda dengan hidup saya sekarang ini. Ada 2 hal. Pertama, sekolah ini adalah tempat saya mendapatkan pendidikan terbaik selama hidup saya. Kedua, yang tidak kalah penting adalah tempat saya mendapatkan teman-teman terbaik, teman-teman seumur hidup saya.",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1500,"
Salah satu sekolah unggulan di Kota Malang, fasilitas lengkap, guru disiplin dan lihai dalam mengajar, lokasi strategis, bidang ekstrakurikuler jg bervariasi, di sekolah ini siswa akan belajar tentang toleransi karena siswa berasal dari seluruh penjuru Indonesia.",SMAK Kolese Santo Yusup,D,SMAK Kolese Santo Yusup_D
1501,"
Berenang",Lapangan Rampal,N,Lapangan Rampal_N
1502,"
Tempat olahraga out door terpopuler di kota malang, dapat diakses dg mudah & murah untuk semua kalangan.",Lapangan Rampal,D,Lapangan Rampal_D
1503,"
Enak banget buat olahraga",Lapangan Rampal,D,Lapangan Rampal_D
1505,"
Nyaman",Lapangan Rampal,D,Lapangan Rampal_D
1506,"
Bagus",Lapangan Rampal,D,Lapangan Rampal_D
1507,"
Pengelola parkir yang tidak profesional. Dengan ditarik biaya parkir yg mahal 5k / mobil, dengan kondisi parkir yang sangat tidak layak. RambuÂ² dan kondisi tempat parkir tidak sesuai. Perugas jaga parkir mengaku kewalahan saat pengunjung ramai. Petugas jaga di lapangan hanya 1 orang. Sangat tidak profesional",Lapangan Rampal,TD,Lapangan Rampal_TD
1508,"
Rame, tapi sayang lapangannya terlalu becek setelah hujan",Lapangan Rampal,TD,Lapangan Rampal_TD
1509,"
Cocok buat olahraga",Lapangan Rampal,D,Lapangan Rampal_D
1510,"
Tempat olahraga yg nyaman n moe kulineran banyak jg macemnya",Lapangan Rampal,D,Lapangan Rampal_D
1511,"
Tempat yg nyaman buat ber olga",Lapangan Rampal,D,Lapangan Rampal_D
1512,"
mengawali lagi jalan-jalan pagi di rampal setelah terhenti lama karena pandemi ðŸ˜ƒ",Lapangan Rampal,D,Lapangan Rampal_D
1513,"
Tempat yg asyik utk ngajak si kecil bermain disni",Lapangan Rampal,D,Lapangan Rampal_D
1514,"
Nyaman",Lapangan Rampal,D,Lapangan Rampal_D
1515,"
Enak dan nyaman untuk jogging",Lapangan Rampal,D,Lapangan Rampal_D
1516,"
Tempat olahraga yang terpadu enak bersih di dukung dengan wisata kuliner yg lengkap",Lapangan Rampal,D,Lapangan Rampal_D
1518,"
Sejuk",Lapangan Rampal,D,Lapangan Rampal_D
1519,"
Nyaman, rindang hanya tempat parkir mobil yg perlu diperbaiki (becek kalo habis hujan)",Lapangan Rampal,TD,Lapangan Rampal_TD
1520,"
tempat yg lumayan untuk kegitan olahraga di pagi hari, namun sayang areal untuk joging track sebelah Utara rusak kurangnya pemeliharaan, kondisinya cukup teduh",Lapangan Rampal,TD,Lapangan Rampal_TD
1521,"
Tetap maju dalam smangat",Lapangan Rampal,D,Lapangan Rampal_D
1522,"
Mampir untuk bermain badminton",Lapangan Rampal,N,Lapangan Rampal_N
1523,"
bagus",Lapangan Rampal,D,Lapangan Rampal_D
1524,"
fasilitas olahraga yg nyaman dan aman berada dilingkungan militer",Lapangan Rampal,D,Lapangan Rampal_D
1526,"
enak polll",Lapangan Rampal,D,Lapangan Rampal_D
1527,"
Fasum legkapp",Lapangan Rampal,D,Lapangan Rampal_D
1528,"
Enak buat olahraga",Lapangan Rampal,D,Lapangan Rampal_D
1529,"
Bersih tertib luas dan nyaman",Lapangan Rampal,D,Lapangan Rampal_D
1530,"
Nayamul,,,tlg di rapikan lagi",Lapangan Rampal,TD,Lapangan Rampal_TD
1531,"
RTH yang nyaman, selain fasilitas olahraga dilengkapi playground juga untuk anakÂ², ada fasilitas kursi taman dan toilet. Perlu diperbaiki untuk kebersihan toilet yang sangat kurang padahal toiletnya berbayar. Lapangan parkir juga perlu diperhatikan oleh pengelola karena kalau musim penghujan sering becek dan selip.",Lapangan Rampal,TD,Lapangan Rampal_TD
1532,"
Lengkap, luas, nyaman, ramai & ramah... Joging track, kolam renang, dll... So sweet..",Lapangan Rampal,D,Lapangan Rampal_D
1533,"
Sejuk pemandanganya sayang parkirnya becek",Lapangan Rampal,TD,Lapangan Rampal_TD
1534,"
Lapangan Rampal sangat ramah buat anak2..ada merpatinya pula..",Lapangan Rampal,D,Lapangan Rampal_D
1535,"
Bagus banget untuk olahraga, ada kolam renang dan playground juga
Cocok buat segala umur",Lapangan Rampal,D,Lapangan Rampal_D
1536,"
Tempat yang nyaman utk kegiatan olahraga bersama keluarga, disediakan tempat bermain utk anak2 :)
fasilitas olahraga :
lapangan volley,
lapangan basket,
Lapangan tenis,
kolam renang,
Area joging",Lapangan Rampal,D,Lapangan Rampal_D
1540,"
Jossss",Lapangan Rampal,D,Lapangan Rampal_D
1541,"
Sip",Lapangan Rampal,D,Lapangan Rampal_D
1542,"
Parkiran seperti offroad... Banyak bamper mobil rusak terperosok di parkiran",Lapangan Rampal,TD,Lapangan Rampal_TD
1543,"
Lapangan terluas dan nyaman buat olahraga",Lapangan Rampal,D,Lapangan Rampal_D
1544,"
Top markotop",Lapangan Rampal,D,Lapangan Rampal_D
1545,"
Tempat olahraga",Lapangan Rampal,N,Lapangan Rampal_N
1547,"
Bersih dan nyaman",Lapangan Rampal,D,Lapangan Rampal_D
1548,"
Untuk parkiran mobil mohon di benahiðŸ™",Lapangan Rampal,TD,Lapangan Rampal_TD
1549,"
Bisa jalan sehat lagi di Rampal.",Lapangan Rampal,D,Lapangan Rampal_D
1550,"
Mantaaaabbb",Lapangan Rampal,D,Lapangan Rampal_D
1552,"
cukup menghibur anak2",Lapangan Rampal,D,Lapangan Rampal_D
1554,"
Nyaman dan bersih",Lapangan Rampal,D,Lapangan Rampal_D
1557,"
Suka banget, tempat penuh kenangan",Lapangan Rampal,D,Lapangan Rampal_D
1558,"
Seruuu...",Lapangan Rampal,D,Lapangan Rampal_D
1559,"
Bagus tempatnya",Lapangan Rampal,D,Lapangan Rampal_D
1560,"
Tempat Ok buat olahraga santai",Lapangan Rampal,D,Lapangan Rampal_D
1562,"
Seneng bngt, ada tempat bermain anak2 selain bisa olah raga",Lapangan Rampal,D,Lapangan Rampal_D
1563,"
zona sejuk d pagi hari buat olahraga...d sisi timur jg byk zona jajanan",Lapangan Rampal,D,Lapangan Rampal_D
1564,"
Tempat olahraga yg luas",Lapangan Rampal,D,Lapangan Rampal_D
1565,"
cocok untuk lari",Lapangan Rampal,D,Lapangan Rampal_D
1566,"
HANOMAN CAFE",Lapangan Rampal,N,Lapangan Rampal_N
1567,"
Suka",Lapangan Rampal,D,Lapangan Rampal_D
1568,"
Tempatnya bersih dan asri",Lapangan Rampal,D,Lapangan Rampal_D
1569,"
Luas bersih bukan cmn tmpat olahraga tp ada tempat bermain untuk anakÂ² juga kolam renang .. Taman bermainnya juga sejuk bnyak tmpat duduk enak. Buat santai..",Lapangan Rampal,D,Lapangan Rampal_D
1570,"
Luas .",Lapangan Rampal,D,Lapangan Rampal_D
1571,"
Semangat berolahraga dan kulineran",Lapangan Rampal,D,Lapangan Rampal_D
1572,"
Bisa dibilang tempat bagi yg hobi olah raga sagala macam,,,mantaplah,,",Lapangan Rampal,D,Lapangan Rampal_D
1573,"
Siapa sih yg gatau lapangan ini? Wkwkwk. Debest",Lapangan Rampal,D,Lapangan Rampal_D
1574,"
Nyaman buat olah raga dan aktivitas bermain utk anak",Lapangan Rampal,D,Lapangan Rampal_D
1575,"
Suka banget sekarang fasilitas olah raga tambah lengkap",Lapangan Rampal,D,Lapangan Rampal_D
1576,"
Rampal olahraga",Lapangan Rampal,N,Lapangan Rampal_N
1577,"
Parkir roda 4 seperti sedang offroad kalau habis hujan",Lapangan Rampal,TD,Lapangan Rampal_TD
1578,"
Asik bersih",Lapangan Rampal,D,Lapangan Rampal_D
1579,"
Enak buat olah raga ringan",Lapangan Rampal,D,Lapangan Rampal_D
1580,"
Bagus",Lapangan Rampal,D,Lapangan Rampal_D
1582,"
rame banyak pilihan warung kopi maupun cafe",Lapangan Rampal,D,Lapangan Rampal_D
1583,"
Parkir luas dan tempatnya oke untuk olahraga Sabtu dan Ahad.",Lapangan Rampal,D,Lapangan Rampal_D
1584,"
Muantapppuuu jiiiiwaaaa",Lapangan Rampal,D,Lapangan Rampal_D
1585,"
Kondisi becek",Lapangan Rampal,TD,Lapangan Rampal_TD
1586,"
Nyaman buat istirahat siang , bisa parkir di bawah pohon, tidur siang di mobil",Lapangan Rampal,D,Lapangan Rampal_D
1587,"
Cocok untuk olahraga",Lapangan Rampal,D,Lapangan Rampal_D
1588,"
Tempat yang Menyenangkan
Mengisi waktu pagi Bersama
Keluarga Tercinta
Utamanya Hari Libur
Full sarana Olah Raga
Voly ball
Sepak bola
Pelatihan bela diri
Joging
Renang
Bulu tangkis lapangan terbuka
Bersepeda
Jalan kaki
Lokasi terbuka dikelilingi rimbun pohon
Lokasi strategis
Areal parkir Luas
Tersedia banyak kuliner
Dan pedagang kaki lima
Tempat bersih dan tertata
Sangat cocok untuk Anda bersantai dan berolah raga
Aman untuk semua usia
Sala satu tempat kesayangan warga Malang
Tempat Refres yang murah meriah
Untuk hari hari sibuk Anda",Lapangan Rampal,D,Lapangan Rampal_D
1589,"
lapangan yang dimiliki oleh TNI - AD yang dapat digunakan oleh masyarakat umu untuk olah raga dan tersedia kuliner juga serta toilet umum...dapat dijadikan tempat hang out dipagi hari bersama keluarga dan teman2ðŸ‘ðŸ‘ðŸ‘",Lapangan Rampal,D,Lapangan Rampal_D
1590,"
Tempat luas dan nyaman untuk jogging saat pagi atau sore hari",Lapangan Rampal,D,Lapangan Rampal_D
1592,"
Rampal nyaman",Lapangan Rampal,D,Lapangan Rampal_D
1593,"
Ramai, bervariasi fasilitas olahraga dan stand makanannya.",Lapangan Rampal,D,Lapangan Rampal_D
1594,"
ok banget deh",Lapangan Rampal,D,Lapangan Rampal_D
1596,"
Tempat nyaman, bersih, buat kumpul atau sekedar bertemu keluarga, arena olahraga ada...",Lapangan Rampal,D,Lapangan Rampal_D
1597,"
Bisa unt olahraga n goyang hihihi dilanjut kuliner",Lapangan Rampal,D,Lapangan Rampal_D
1598,"
Siip",Lapangan Rampal,D,Lapangan Rampal_D
1599,"
Tempat olahraga yang nyaman dan fasilitas olahraga yang baik.",Lapangan Rampal,D,Lapangan Rampal_D
1603,"
Cocok buat olah raga, ada kolam renang, jogging,lapangan bola..ada warung-warung tempat istirahat sip deh Monggo dicoba...",Lapangan Rampal,D,Lapangan Rampal_D
1604,"
sangan nyaman untuk gegiatan positif",Lapangan Rampal,D,Lapangan Rampal_D
1605,"
Parkiran mobil becek",Lapangan Rampal,TD,Lapangan Rampal_TD
