no,ulasan,entity,GT
1327,"
Kangen sotonya buk kas ðŸ˜ðŸ˜",SMK N 3 Kota Malang,N
1328,"
Mantull , great of school",SMK N 3 Kota Malang,D
1329,"
Salah satu Sekolah faforit kejuruan bidang grup pariwisata, jurusan Boga,Busana,Kecantikan, Jasa perhotelan dan TKJ. Suasana nyaman punya Hotel, Kafe, Salon,Butik,Pastry unit, dan Komputer Service. Pokoknya lengkap.",SMK N 3 Kota Malang,D
1330,"
Bagus",SMK N 3 Kota Malang,D
1331,"
Pernah menjadi bagian dari instansi ini 2002 - 2015",SMK N 3 Kota Malang,N
1332,"
Sangat berkesan dan saya sering ngetem ojol di SMK 3 ini",SMK N 3 Kota Malang,D
1333,"
Bagus ,tempat berkreasi generasi milenial",SMK N 3 Kota Malang,D
1334,"
Bagus",SMK N 3 Kota Malang,D
1335,"
Ibu/bapak guru, saya mau tanya, pendaftaran sekolah SMK 3 kapan di buka?
Sekian terimakasih ðŸ™",SMK N 3 Kota Malang,N
1336,"
Skolahku iki",SMK N 4 Kota Malang,N
1337,"
Favorit yg ingin sekolah design gambarðŸ‘",SMK N 4 Kota Malang,D
1338,"
Bangunan bagus.. semoga prestasinya juga bagus",SMK N 4 Kota Malang,D
1339,"
Sekolah yg sangat nyaman",SMK N 4 Kota Malang,D
1340,"
pelayanan ramah...staf juga oke...tempat bersih...dekat dengan jajanan dan kuliner...recommended buat yang butuh penginepan bersih dan terjangkau",SMK N 4 Kota Malang,D
1341,"
Usul kepada manajemen sekolah SMK4 agar kedepan bisa membantu penjemput siswa yg kesulitan mencari anaknya krn bangunan luas sekali dengan panggilan speaker spt di kantor kantor layanan umum.. terimakasihðŸ™ðŸ™",SMK N 4 Kota Malang,TD
1342,"
Bagus lengkap",SMK N 4 Kota Malang,D
1343,"
Joss",SMK N 4 Kota Malang,D
1344,"
Bagus",SMK N 4 Kota Malang,D
1345,"
Sekolah paling Legend di kota Malang",SMK N 4 Kota Malang,N
1346,"
Alumni th 2014 Hadir",SMK N 4 Kota Malang,N
1347,"
Tempat ini sangat bersih dan tertata dengan baik,banyaknya pepohonan membuat tempat ini menjadi sangat nyaman",SMK N 4 Kota Malang,D
1348,"
Joz",SMK N 4 Kota Malang,D
1349,"
Sklhnya bagus.. Aulanya luas.. Di dlm sklhan sejuk.",SMK N 4 Kota Malang,D
1350,"
Area hotel jadi 1 dengan sekolah sangat tidak nyaman",SMK N 4 Kota Malang,TD
1351,"
Kamar cukup baik, besar",SMK N 4 Kota Malang,D
1352,"
Letak sekolah strategis,tata bangunan sekolah bagus,",SMK N 4 Kota Malang,D
1353,"
Tempatnya bagus,fasilitasnya juga memadai,meskipun ada beberapa kamar mandi yang tidak ada lampu.",SMK N 4 Kota Malang,D
1354,"
Merupakan sekolah yang ada hotelnya namun tidak dengan wisudanya",SMK N 4 Kota Malang,TD
1355,"
Terlihat kalau sekolah yang bagus... secara fisik dari bangunan dan fasilitas sekolahnya lengkap...",SMK N 4 Kota Malang,D
1356,"
Aula SMKnya bersih dan asri. Banyak tersedia tempat cuci tangan.
Kebetulan ada acara wedding. Semi outdoor jadi sangat rekomendasi untuk acara / kegiatan sesuai protokol kesehatan, disebelah aula ada semacam cafe dari sekolahnya. Parkirnya juga luas.

Saran saja petugas parkirnya lebih aktif lagi membantu pengunjung.",SMK N 4 Kota Malang,D
1357,"
Sekolah atau tempat ngopi? Tempat ngopi ada sekolahnya? Datang dan temukan jawabannya",SMK N 4 Kota Malang,N
1358,"
BagusðŸ‘",SMK N 4 Kota Malang,D
1359,"
selamat siang, sy ingin bertnya soal lokasi atau kontak atas nama Bapak Triyono",SMK N 4 Kota Malang,N
1360,"
Terdapat Cerita Indah di Sekolah itu",SMK N 4 Kota Malang,D
1361,"
mantabbb",SMK N 4 Kota Malang,D
1362,"
semoga kwalitas belajarnya sesuai dengan tempatnya yg bagus",SMK N 4 Kota Malang,D
1363,"
Nyaman....",SMK N 4 Kota Malang,D
1364,"
Tempatnya keren dan kesan mewah",SMK N 4 Kota Malang,D
1365,"
Smk negri yang sangat maju, dengan fasilitas yang lengkap dan didukung dengan guruÂ² yang mahir dalam mengajar",SMK N 4 Kota Malang,D
1366,"
Sekolah saya, baru lulus tahun 2020, ya angkatan corona. Hehe.

Saya jurusan RPL disini, guru-gurunya alhamdulillah baik baik. Yang penting kitanya rajin aja pasti beliau juga baik ke kita.

Untuk gedungnya sendiri, sekarang tambah megah daripada dulu waktu masih kelas 1, aulanya sekarang sejuk dan bagus.

Oh iya disini ada hotelnya juga, cuman saya belum pernah coba masuk.",SMK N 4 Kota Malang,D
1367,"
""Grafika"" begitu saya menyebutnya..",SMK N 4 Kota Malang,N
1368,"
Pernah",SMK N 4 Kota Malang,N
1369,"
Salah satu Sekolah favorit & terbaik di kota malang",SMK N 4 Kota Malang,D
1370,"
Semoga menjadi dana menjadikan anak didik yg berguna",SMK N 4 Kota Malang,D
1371,"
Multimedia C 2012",SMK N 4 Kota Malang,N
1372,"
Bersih, gurunya sopan ðŸ˜‰",SMK N 4 Kota Malang,D
1373,"
Terbaik",SMK N 4 Kota Malang,D
1374,"
Disiplin",SMK N 4 Kota Malang,D
1375,"
Sebuah sekolah yg menejem nya bagus ...
Dan menyediakan semua kebutuhan siswa",SMK N 4 Kota Malang,D
1376,"
Uwu",SMK N 4 Kota Malang,D
1377,"
Berkwalitas...
Mau servis mesin cuci AC kulkas water heater hub kami tlp/wa 085234222885",SMK N 4 Kota Malang,N
1378,"
Tempat yg banyak di idamkan peserta didik di malang raya",SMK N 4 Kota Malang,D
1379,"
Bagus. Sekolah yg punya hotel",SMK N 4 Kota Malang,D
1380,"
SMK Negeri 4 Malang recommended school, edukasi usaha yang real",SMK N 4 Kota Malang,D
1381,"
Luas, bagus dan lengkap",SMK N 4 Kota Malang,D
1382,"
Pernah lulusan dari sekolah grafika sini.kaget sekarang maju sekolahnya.
Salam dari samarinda.buat bapak ibu guru",SMK N 4 Kota Malang,D
1383,"
Bagus",SMK N 4 Kota Malang,D
1384,"
Sekolah saya hehe",SMK N 4 Kota Malang,N
1385,"
lokasi berhadapan dengan asrama al malang, bersebelahan dengan sman 5 , dekat dengan rsi aisyah malang",SMK N 4 Kota Malang,N
1386,"
Sangat nyaman dan asri",SMK N 4 Kota Malang,D
1387,"
Kok bisa jadi hotel komersil / Reddoorz,,, heran kan,,, apa kata dunia",SMK N 4 Kota Malang,TD
1388,"
Salah satu sekolah menengah akhir kejuruan tertua di Malang",SMK N 4 Kota Malang,N
1389,"
sesuai titik",SMK N 4 Kota Malang,N
1390,"
Met pagy bpk/ibu
Permisi saya mau menawarkan jasa renovasi / pembuatan, pengecatan sarana olahraga ( Lap basketball, Lap volly, Lap tenis, Lap futsal dll) kalau bpk/ibu berminat bsa hhub saya di no 087812515384. Devi budianto",SMK N 4 Kota Malang,N
1391,"
Sekolahnya bagus, dan tahu gak kalian Bayu skak pernah sekolah disini lho!",SMK N 4 Kota Malang,D
1392,"
Apakah sekolah mewajibkan siswanya punya laptop?rencana mau ambil MM tapi pengennya beli komputer.lebih penting mana yaa?",SMK N 4 Kota Malang,N
1393,"
Sekolahnya Asri",SMK N 4 Kota Malang,D
1394,"
Tempat kerja",SMK N 4 Kota Malang,N
1395,"
Tempatnya asri, tapi terlalu banyak murid",SMK N 4 Kota Malang,TD
1396,"
Sekolah ditengah kota malang",SMK N 4 Kota Malang,N
1397,"
Pas ada acara di sini",SMK N 4 Kota Malang,N
1398,"
Sekolah unggulan se Malang Raya bahkan di Propinsi juga.Banyak lulusan siswanya sudah di terima perusahaan sebelum di wisuda.Pendidikan kejuruan yang disiplin dan berkarakter pada perusahaan.",SMK N 4 Kota Malang,D
1399,"
memang pantes smk ini dijuluki sebagai smk terfaforit dikota malang karena banyak sekali prestsi yg didapat dari berbagai macam perlombaan bergengsi baik tingkat daerah,nasional,maupun dikancah internasional",SMK N 4 Kota Malang,D
1400,"
Tempatnya luas nyaman,banyak area untuk belajar kelompok, ada masjidnya di tengah gedung..",SMK N 4 Kota Malang,D
1401,"
Bagus. Sangat membantu",SMK N 4 Kota Malang,D
1402,"
Mantab.....",SMK Telkom,D
1403,"
Sekolah ini terletak di tengah perumahan tp tak kalah terkenal dengan yg berada di pinggir jalan. Prestasi akademik siswanya luar biasa, sehingga dijadikan tujuan utama siswa untuk bisa mengadu kepandaian lulusan SMP dari beberapa kota. Adab dan akhlak jg sangat ditekankan di sekolah ini, yg sangat pantas ditiru sekolah lainnya.",SMK Telkom,D
1404,"
Luar biasa",SMK Telkom,D
1405,"
Jajanannya lengkap bgt,, rame, tempat bersih.",SMK Telkom,D
1406,"
Tempat yang luas serta nyaman dan orang orang yang ramah",SMK Telkom,D
1407,"
PSHT lapangan belakang SMK telkom",SMK Telkom,D
1408,"
Semangat",SMK Telkom,D
1409,"
Bersih bagus dan terawat",SMK Telkom,D
1410,"
Semoga saja aku bisa masuk sekolah sini aamiin",SMK Telkom,D
1411,"
Sekolah yg bagus",SMK Telkom,D
1412,"
Sekolah IT terbaik, fasilitasnya bagus, sekolahnya luas, lebih mementingkan attitudenya, namun menurut saya rombel terlalu banyak. Satu kelas bisa mencapai 45 siswa",SMK Telkom,D
1413,"
Sekolah kereennn... SMK bisa.. SMK hebat..",SMK Telkom,D
1414,"
ok bersih dan bermutu",SMK Telkom,D
1415,"
SMK berbasis IT favorit di kota Malang",SMK Telkom,D
1416,"
SMA Swasta terbaik nasional..",SMK Telkom,D
1417,"
SMK IT yng terbaik di malang",SMK Telkom,D
1418,"
Baik",SMK Telkom,D
1419,"
Jalan nya sudah diaspal mulus",SMK Telkom,D
1420,"
SMK dg wawasan teknologi masa depan",SMK Telkom,D
1421,"
Survey sekolah",SMK Telkom,N
1422,"
Sekolahnya Anak2 IT ..semoga semakin sukses buat mokleters Dan berkah",SMK Telkom,D
1423,"
1.saya ingin bertanya apakah ada ekstrakulikuler
2.dan jika ada ekstrakulikuler ekstrakulikuler nya itu apa saja
3.apakah disini juga ada pelajaran olahraga atau hanya komputer saja",SMK Telkom,N
1424,"
Lagi lockdown",SMK Telkom,N
1425,"
Saya suka",SMK Telkom,D
1426,"
ini sekolah kesukaan saya walaupun saya ga pernah sekolah disini",SMK Telkom,D
1427,"
SMK ini sangat bagus dan berkualitas cocok untuk generasi kita",SMK Telkom,D
1428,"
Asri",SMK Telkom,D
1429,"
Sekolahnya bagus",SMK Telkom,D
1430,"
Bagus sekali, sekolah kebanggaan",SMK Telkom,D
1431,"
Untuk pertemuan,acara resepsi pernikahan,cukup luas untuk undangan 500 lebih,parkir jg cukup luas untuk mobil dan sepeda...",SMK Telkom,D
1432,"
Mantap, attitude is everything",SMK Telkom,D
1433,"
Terima kasih sudah menjadi bagian dari proses hidup saya. SMK Telkom Sandhy Putra Malang, Telkom School that has a valuable motto: Attitude is Everything.",SMK Telkom,D
1434,"
Di atas aula nya merupakan mesjid nya",SMK Telkom,N
1435,"
Kurang lebih 3-4km keluar tol pakis. Jadi sangat strategis",SMK Telkom,D
1436,"
Sekolahnya bagus.",SMK Telkom,D
1437,"
Sekolah kejuruan berbasis teknologi, RPL dan TKJ",SMK Telkom,N
1438,"
ruangan nya luas dan cukup bagus untuk kegiatan dan pettemuan pertemuan",SMK Telkom,D
1439,"
Disewakan untuk acara pernikahan san lainnya. Parkir luas, toilet bersih, akses mudab dijangkau",SMK Telkom,D
1440,"
Tempat menikah di perumahan sawojajar. Parkir tersedia lumayan luas jadi tidak perlu parkir di tepi jalan",SMK Telkom,D
1441,"
Sekolah yang maju,disiplin dan punya banyak link jaringan pekerjaan setelah lulus.pokoknya kalau sekolah disini tidak khawatir soal pekerjaan.is the best",SMK Telkom,D
1442,"
Siswa sangat rapi saat upacara.",SMK Telkom,D
1443,"
Sekolah katolik",SMAK Kolese Santo Yusup,N
1444,"
Setiap hari ujian, membuat saya menjadi orang sukses",SMAK Kolese Santo Yusup,D
1445,"
Mulai kakak saya tertua sampai anak anak saya adalah jebolan Kosayu. Saya sendiri lulusan 89. Sekarang anak terkecil saya masih sekolah di Hwa Ind. Sekolah ini beserta semua guru dan staffnya adalah bagian keluarga, sehingga saya berharap yayasan mampu juga memperhatikan kehidupan dan kesejahteraan semua guru dan staffnya.
Seluruh murid dan alumni adalah keluarga besar yang akan membentuk masa depan bangsa dan negara. Datang dari seluruh penjuru Indonesia, membentuk kita sebagai manusia NKRI yang kaya akan kebanggaan sebagai bangsa Indonesia yang hebat.
Saya berharap Hwa Ind sampai kapanpun akan mampu menjadi institusi pendidikan yang membanggakan, memperhatikan guru dan staffnya, serta berkontribusi nyata dalam menjadikan Indonesia Maju dan Jaya!!!",SMAK Kolese Santo Yusup,D
1446,"
Salah satu sekolah SMA Katolik yg terbaik di Malang",SMAK Kolese Santo Yusup,D
1447,"
Pertama kali merantau, bertemu banyak teman dari sabang sampai merauke, belajar banyak dari keberagaman, edukasi dan kegiatan mahasiswanya luar biasa. #proudtobekosayu",SMAK Kolese Santo Yusup,D
1448,"
Tetap bersemangat !",SMAK Kolese Santo Yusup,D
1449,"
Perkenalkan saya David Christian Ferdinand (PEKSY 2016). Pengalaman saya pada saat menempuh studi di SMAK Kolese Santo Yusup ini sangatlah menyenangkan. Apabila dilihat dari segi kualitas sangatlah baik. Tidak hanya soal akademik saja, di jaman saya dulu pihak Sekolah juga sangat memfasilitasi siswa nya untuk bisa berkembang di bidang non-akademik juga baik itu ekstra-kurikuler, organisasi, dan banyak lagi. Lebih hebatnya lagi, sekolah ini juga memiliki banyak sekali channel jalur kerjasama dengan berbagai macam Perguruan Tinggi baik itu Nasional maupun Internasional. Hal ini terlihat jelas pada kegiatan Expo Perguruan Tinggi yang selalu diadakan tiap tahunnya. Saya sendiri juga merasa sangat bangga dengan almamater ini dan menurut saya kualitas pembelajaran di SMA ini sangatlah worthy.",SMAK Kolese Santo Yusup,D
1450,"
Sekolah yang sangat berkualitas baik untuk pendidikan akademik dan non akademiknya, selain itu lingkungan sekolah yang sangat sejuk bikin selalu rindu rasanya. Semoga sukses selalu SMAK KOSAYU",SMAK Kolese Santo Yusup,D
1451,"
Sekolah yang mengajarkan value terbaik dalam hidup, terutama saat kerja. Saya sangat merasakan kedisiplinan yang diberikan oleh sekolah saat kerja, disiplin dalam mengerjakan tugas, disiplin waktu dan juga tanggung jawab. Sekolah penuh memori, tidak hanya pendidikannnya, tapi hubungan sesama siswa dan guru. TETAP BERSEMANGAT akan selalu di hati :)",SMAK Kolese Santo Yusup,D
1452,"
Tempat menimba ilmu ketika SMA
Lingkungannya asri sejuk nyaman",SMAK Kolese Santo Yusup,D
1453,"
Bagi saya merupakan sesuatu berharga bisa bersekolah disini. Tempat dimana saya pertama belajar menghargai perbedaan yang merupakan karunia dari Tuhan untuk negara ini...terimakasih sisan diberi kesempatan menjadi bagiannya...",SMAK Kolese Santo Yusup,D
1454,"
tetap bersemangat! Terus update pola pembelajaran yang efektif bagi tumbuh kembang anak didik yang optimal!",SMAK Kolese Santo Yusup,D
1455,"
Dulu SMA di mana? Di Hua Ind donk. Sekarang fasilitasnya makin lengkap dibanding waktu saya sekolah dl ðŸ‘. Tetap bersemangat ðŸ’ª",SMAK Kolese Santo Yusup,D
1456,"
Pengalaman hidup yg gak akan terlupakan di SMAK KOSAYU",SMAK Kolese Santo Yusup,D
1457,"
Almamater tercinta",SMAK Kolese Santo Yusup,N
1458,"
Separuh hidup sy ada di Kosayu (dr Playgrup smp SMA di blimbing terus) bangga sekali menjadi slh satu alumni dr Kosayu/Hua Ind. Sy rasa sejatim-bali pun sdh mengenal nama besarnya..sekolah yg msh mengedepankan pelajaran akademis, kedisiplinan, tdk boleh bawa hp. Kl soal pelajaran jgn ditanya lagi, jauh lebih takut dengan ujian sekolah drpd ujian nasional. Tetap bersemangatt!! Kosayu tetap di hati,semoga ttp menjadi sekolah unggulan.",SMAK Kolese Santo Yusup,D
1459,"
Tak ada kata yang dapat terucap... Selain... Bangga menjadi alumni Hua Ind..âœ¨âœ¨âœ¨",SMAK Kolese Santo Yusup,D
1460,"
Tempat bersekolah 1992-1995. Tentu sudah banyak kemajuan dibanding seperempat abad lalu. Tetap Bersemangat",SMAK Kolese Santo Yusup,D
1461,"
Saya angkatan 1997. Lulus tahun 2000. A nice Catholic school. Dengan ulangan yg bertubi tubi, tugas tiada akhir. Pengalaman yg di dapat jadi disiplin, mengalami kurikulum absurd, kl mental g kuat bisa jadi pasien psikolog, bahwa di Indonesia yg dipentingkan hasil bukan proses. Begitu.",SMAK Kolese Santo Yusup,D
1462,"
Banyak teman dari seluruh Indonesia. Disiplin baik dalam hal akademis maupun non akademis.",SMAK Kolese Santo Yusup,D
1463,"
Tempat yg nyeremin tapi asik",SMAK Kolese Santo Yusup,D
1464,"
Sekolah yang penuh kenangan. Tempat saya menimba ilmu pertama kali di tanah Jawa. Teman2 dari beragam daerah dan kota berkumpul disini, membuktikan bahwa sekolah ini memang favorit. Sampai sekarang pun tetap menjadi favorit di tengah banyaknya sekolah berlabel internasional. Tetap Bersemangat âœŠ",SMAK Kolese Santo Yusup,D
1465,"
Sebagai alumni saya sangat bangga dengan SMAK Kolese Santo Yusup yang telah banyak memberikan banyak baik ilmu, disiplin, tanggung jawab, pertemanan yang bisa diterapkan dalam pekerjaan, maupun kehidupan sehari2.
Dan yang lebih membanggakan anak saya satu2nya dr Bali ngotot sekolah di Malang melihat begitu rekatnya saya dengan ikatan alumni (Peksy), dan akhirnya dia lulus dan dengan bangganya jg dia akhirnya sdh kuliah dan selalu bilang TIDAK MENYESAL sekolah di Hua Ind....
Anak saya menjadi lebih mandiri dan bertanggung jawab serta mempunyai semangat yang luar biasa seperti motto Hua Ind TETAP SEMANGATðŸ‘",SMAK Kolese Santo Yusup,D
1466,"
Tidak hanya mendapatkan pendidikan formal, tetapi juga pendidikan karakter disupport oleh lingkungan yang multikultural dan guru-guru berwawasan luas. Thank you HuaInd! Tetap Bersemangat!",SMAK Kolese Santo Yusup,D
1467,"
Proud to be Kosayu!! Sekolah Hwaind memiliki sistem yang sangat baik untuk mendidik anak2 baik dari sisi akademis & mentalnya. Kegiatan sekolah semua bermanfaat, seperti Pelangi Bangsaku yang mengenalkan budaya seluruh provinsi di Indonesia. Lalu ada ekspo karir dimana anak2 bisa belajar dari para alumni sebelum menentukan jurusan kuliahnya.
Kegiatan OSIS juga sangat bagus, melatih leadership sejak dini, agar nanti di kampus / dunia kerja sudah terlatih untuk kepengurusan teamwork.",SMAK Kolese Santo Yusup,D
1468,"
Tetap bersemangatt!!",SMAK Kolese Santo Yusup,D
1469,"
Saya alumni SMAK Kolese Santo Yusup angkatan 82.disiplin, semangat belajar, kekompakan dan kebersamaan selalu menjadi motivasi yg kuat.selalu juara sekolah ku.tetap bersemangat",SMAK Kolese Santo Yusup,D
1470,"
Bangga dong jd alumni KosayuðŸ˜Š",SMAK Kolese Santo Yusup,D
1471,"
Sekolah terbaik di Malang",SMAK Kolese Santo Yusup,D
1472,"
SMAK St. Yusup sudah menjadi seperti sekolah keluarga. Dari om, tante, saya, adik, kakak sepupu, adik sepupu, ponakan-ponakan; banyak yang bersekolah disini. Disiplin, bertanggung jawab, toleransi adalah sebagian dari apa yang saya dapatkan selama bersekolah. Keputusan yang tepat ketika orang tua saya menyekolahkan kami jauh-jauh dari Kupang-NTT kesini.
Suatu kebanggaan menjadi alumni SMAK St. Yusup.
Tetap Jaya. TETAP BERSEMANGAT.",SMAK Kolese Santo Yusup,D
1473,"
Disini tempat belajar untuk tetap bersemangat!",SMAK Kolese Santo Yusup,D
1474,"
Belajar , belajar, serasa tanpa henti, disiplin ketat utamanya ketika alm Romo Joseph Wang masih memimpin SMAK kosayu, tapi hasil kerja keras para guru dan Romo , membuahkan banyak prestasi yang membanggakan Alma Mater !",SMAK Kolese Santo Yusup,D
1475,"
Kosayu = keberagaman
Bersekolah di Kosayu seperti sedang travelling menjelajah Indonesia.
Setelah lulus dari Kosayu, mempunyai teman di seluruh dunia karena alumninya tersebar kemana2.
Terima kasih Bapak&Ibu guru yang telah menemani saya selama berproses di Kosayu.
Tetap bersemangaaaat!",SMAK Kolese Santo Yusup,D
1476,"
Saya menempuh pendidikan di Kolese ini bahkan tinggal di asrama. Banyak pelajaran berharga yang saya dapatkan terutama pelajaran hidup dan nilai-nilai kehidupan yang masih menjadi bekal hidup saya sampai saat ini. Guru-gurunya mumpuni. Fasilitasnya memadai.",SMAK Kolese Santo Yusup,D
1477,"
Sebagai alumni dan orang tua murid ,saya melihat di masa pandemi ini Hua Ind tetap berusaha memberikan yang terbaik untuk anak didiknya baik dalam iman,karakter,ketrampilan dan intelektualitasnya. Saya bangga menjadi alumni Hua Ind . Tetap Bersemangat !!!",SMAK Kolese Santo Yusup,D
1478,"
Salah satu SMA terbaik di Indonesia. Satu diantara sedikit SMA dimana siswa berasal dari seluruh Indonesia dan karenanya merupakan tempat belajar budaya Indonesia terbaik. Belajar untuk mengerti perbedaan budaya sebagai kekuatan. Belajar tentang INDONESIA.
Sooooooo proud to be one of the Alumni =)",SMAK Kolese Santo Yusup,D
1479,"
Sekolah yg baik. Fasilitas sekolah mereka memadai serta kualitas mengajar jg baik. Sistem mengajar sekolah ini melatih anak2 utk menjadi rajin dan selalu siap menjalankan tgs yg ada.",SMAK Kolese Santo Yusup,D
1480,"
Salah satu sekolah terbaik di Indonesia",SMAK Kolese Santo Yusup,D
1481,"
Disiplinnya MANTAP banget!",SMAK Kolese Santo Yusup,D
1482,"
Kedisiplinan dan tanggung jawab yg diajarkan saat saya sekolah SMP dan SMA di HUA IND Malang , terus menerus lengket di masa2 selanjutnya hingga sekarang , sehingga semua yg kami kerjakan bisa tuntas sampai tujuan akhir dan mencapai kesuksesan",SMAK Kolese Santo Yusup,D
1483,"
Menjadi lulusan SMAK Kolese Santo Yusup merupakan kelebihan utama dalam hidup saya. Dari sisi akademis memudahkan saya mengikuti pembelajaran saat kuliah. Seusai kuliah saya juga bertemu dengan alumni Kosayu yang menjadi rekan kerja saya. Nyatanya, flow study di SMAK Kosayu membuat mental kami lebih unggul daripada yang lain.",SMAK Kolese Santo Yusup,D
1484,"
Lingkungan sekolah yg nyaman..guru2 yg kompeten..",SMAK Kolese Santo Yusup,D
1485,"Sekolah ini selalu yang terbaik untukku! Toleransi dan rasa hormat antar dan satu sama lain sangat terasa! Terutama bidang: fisika, matematika, kimia, dan bahasa Inggris adalah kelas satu!",SMAK Kolese Santo Yusup,D
1486,"
Adalah sekolah yang terkenal karena mengajarkan kedisiplinan, memiliki guru yang baik dalam bidangnya, perhatian dengan murid, salah satu sekolah di Malang yang menghasilkan nilai akademis terbaik, menciptakan banyak individu yang berhasil dari sisi karakter , dengan slogan Tetap Bersemangat. Semoga tetap dipertahankan bahkan lebih baik lagi.",SMAK Kolese Santo Yusup,D
1487,"
Tidak terlupakan
Banyak kenangan indah",SMAK Kolese Santo Yusup,D
1488,"
Sekolah disini mulai SMP-SMA pengalaman yg sangat menyenangkan. Ditambah guru2 nya yg hebat. Banyak mendapat pengalaman baru dr teman baru. Teman yg berasal dr sabang sampai merauke... Slalu mencetak prestasi akademik dan non akademik. Maju terus Kosayu.. TETAP BERSEMANGAT...",SMAK Kolese Santo Yusup,D
1489,"
The best school at Malang, guru2nya baik, fasilitas banyak dan lengkap, lapangan luas, halaman banyak, bener2 mencerminkan sekolah yg sehat utk generasi mendatang...",SMAK Kolese Santo Yusup,D
1490,"
Sekolah yg bagus",SMAK Kolese Santo Yusup,D
1491,"
Semua yang kamu butuhkan untuk menjadi siswa paripurna ada di Hua-Ind",SMAK Kolese Santo Yusup,D
1492,"
Sekolah dengan lingkungan terbaik, asri, pepohonan rindang, taman terawat, fasilitas lengkap. Tiada masa seindah masa masa SMA.",SMAK Kolese Santo Yusup,D
1493,"
kolese st yusup top markotop",SMAK Kolese Santo Yusup,D
1494,"
Selain pendidikan yg bagus, byk hal positif dan byk teman dr berbagai daerah yg bisa saya dpt di Kosayu..",SMAK Kolese Santo Yusup,D
1495,"
Salah satu SMA bagus di Malang.
Mengedepankan disiplin, pembangunan manusia baik dari segi ilmu akademisi juga karakter.
Fasilitasnya lengkap, lapangan olah raga bagus.
Tapi saya keburu lulus, gedungnya jadi... Hahaha",SMAK Kolese Santo Yusup,D
1496,"
Kedisiplinan sangat baik, pengembangan potensi diri sangat diperhatikan, guru-gurunya berkualitas, dan fasilitas yang diberikan cukup lengkap",SMAK Kolese Santo Yusup,D
1497,"
Guru-gurunya jelas dalam menjelaskan materi. Fasilitasnya juga cukup untuk kemudahan kegiatan belajar mengajar.",SMAK Kolese Santo Yusup,D
1498,"
Kedisipilinan, kekuatan mental, kemampuan berorganisasi dilatih dengan sangat baik di SMAK Kosayu dan semuanya sangat membantu saya dalam dunia kerja dan dalam kehidupan sehari- hari..klo ada bintang 10 saya kasih bintang 10 buat ratingnya..TETAP BERSEMANGAT!",SMAK Kolese Santo Yusup,D
1499,"
Tanpa sekolah ini, jalan hidup saya pasti berbeda dengan hidup saya sekarang ini. Ada 2 hal. Pertama, sekolah ini adalah tempat saya mendapatkan pendidikan terbaik selama hidup saya. Kedua, yang tidak kalah penting adalah tempat saya mendapatkan teman-teman terbaik, teman-teman seumur hidup saya.",SMAK Kolese Santo Yusup,D
1500,"
Salah satu sekolah unggulan di Kota Malang, fasilitas lengkap, guru disiplin dan lihai dalam mengajar, lokasi strategis, bidang ekstrakurikuler jg bervariasi, di sekolah ini siswa akan belajar tentang toleransi karena siswa berasal dari seluruh penjuru Indonesia.",SMAK Kolese Santo Yusup,D
1501,"
Berenang",Lapangan Rampal,N
1502,"
Tempat olahraga out door terpopuler di kota malang, dapat diakses dg mudah & murah untuk semua kalangan.",Lapangan Rampal,D
1503,"
Enak banget buat olahraga",Lapangan Rampal,D
1504,"
Midah untuk di jangkau",Lapangan Rampal,D
1505,"
Nyaman",Lapangan Rampal,D
1506,"
Bagus",Lapangan Rampal,D
1507,"
Pengelola parkir yang tidak profesional. Dengan ditarik biaya parkir yg mahal 5k / mobil, dengan kondisi parkir yang sangat tidak layak. RambuÂ² dan kondisi tempat parkir tidak sesuai. Perugas jaga parkir mengaku kewalahan saat pengunjung ramai. Petugas jaga di lapangan hanya 1 orang. Sangat tidak profesional",Lapangan Rampal,TD
1508,"
Rame, tapi sayang lapangannya terlalu becek setelah hujan",Lapangan Rampal,TD
1509,"
Cocok buat olahraga",Lapangan Rampal,D
1510,"
Tempat olahraga yg nyaman n moe kulineran banyak jg macemnya",Lapangan Rampal,D
1511,"
Tempat yg nyaman buat ber olga",Lapangan Rampal,D
1512,"
mengawali lagi jalan-jalan pagi di rampal setelah terhenti lama karena pandemi ðŸ˜ƒ",Lapangan Rampal,D
1513,"
Tempat yg asyik utk ngajak si kecil bermain disni",Lapangan Rampal,D
1514,"
Nyaman",Lapangan Rampal,D
1515,"
Enak dan nyaman untuk jogging",Lapangan Rampal,D
1516,"
Tempat olahraga yang terpadu enak bersih di dukung dengan wisata kuliner yg lengkap",Lapangan Rampal,D
1517,"
Tempat favorit cocok buat jogging",Lapangan Rampal,D
1518,"
Sejuk",Lapangan Rampal,D
1519,"
Nyaman, rindang hanya tempat parkir mobil yg perlu diperbaiki (becek kalo habis hujan)",Lapangan Rampal,TD
1520,"
tempat yg lumayan untuk kegitan olahraga di pagi hari, namun sayang areal untuk joging track sebelah Utara rusak kurangnya pemeliharaan, kondisinya cukup teduh",Lapangan Rampal,TD
1521,"
Tetap maju dalam smangat",Lapangan Rampal,D
1522,"
Mampir untuk bermain badminton",Lapangan Rampal,N
1523,"
bagus",Lapangan Rampal,D
1524,"
fasilitas olahraga yg nyaman dan aman berada dilingkungan militer",Lapangan Rampal,D
